categoria;tipo_producto
CAMISETAS;Camiseta CV
CAMISETAS;Camiseta CR
CAMISETAS;Camiseta Bolsillo
CAMISETAS;Level 1
CAMISETAS;Level 2
CAMISETAS;Fashion Graphics
CAMISETAS;Camiseta ML
CAMISETAS;Basica Crop
CAMISETAS;Oversize
CAMISETAS;MC Ranglan
CAMISETAS;Camiseta Corte Moda
CAMISETAS;Ranglan ML
FITS;Bare BVD
FITS;Bare Top
FITS;Fit 6
FITS;Fit 61
FITS;Yogga
FITS;Bare Tiras
FITS;Fit Moda
POLOS;Polo Basica
POLOS;Polo Moda
FLEECE BASICO;Crew
FLEECE PESADO;Crew Zip
FLEECE PESADO;Crew Moda
HODDIE;Hoodies
HODDIE;Hoodies Moda
JOGGER;Jogger
JOGGER;Jogger Moda
CHOMPA;Capucha Cierre
ENTERIZO;Jumper
ENTERIZO;Enterizo
BVD;BVD
BOMBER;Bombers
TEJIDOS;Hoodie Tejido
TEJIDOS;Polo Tejida
TEJIDOS;Camiseta Tejida
TEJIDOS;Henley Tejida
DENIM;Jeans
DENIM;Short Denim
HENLEY;Henley MC
HENLEY;Henley ML
BODY;Body
PANTALONES PLANOS;Pantalon Basico
PANTALONES PLANOS;Pantalon Cargo
PANTALONES PLANOS;Pantalon Moda
BOXER;Boxer
FALDAS;Faldas
CHALECOS;Chalecos
CAMISAS;Camisas ML
CAMISAS;Camisas MC
SHORT PLANOS;Short Cargo
SHORT PLANOS;Short Basico
SHORT PLANOS;Short Moda
SHORT FLEECE;Short Fleece Basico
SHORT FLEECE;Short Fleece Moda
SHORT FLEECE;Short Fleece Cargo
VESTIDOS;Vestidos
ACCESORIOS;Accesorios
