referencia;producto;categoria;tipo_producto;mp_usd;insumos_usd;decoracion_usd;servicios_usd;mod_usd;moi_usd;costo_total_usd;minutos_sam;centros_activos;lineas_omitidas_por_material_inexistente;ficha_guardada;version;fecha;fuente_de_los_consumos
4823;CAMISETA ML RIBB CUELLO REDONDO;CAMISETAS;Camiseta ML;0.0000;0.0000;0.0000;0.0000;2.2212;0.6672;2.8884;12.00;3;0;no;1;;ficha_precargada_PRE
4824;CAMISETA ML RIBB WAFFLE;CAMISETAS;Camiseta ML;0.0000;0.0000;0.0000;0.0000;2.3201;0.6969;3.0171;12.60;3;0;no;1;;ficha_precargada_PRE
4825;CAMISETA MC RIBB CUELLO ALTO;CAMISETAS;Camiseta CR;0.0000;0.0000;0.0000;0.0000;1.8090;0.5434;2.3524;9.60;3;0;no;1;;ficha_precargada_PRE
4826;TOP MANGA CAÍDA;CAMISETAS;Camiseta Corte Moda;0.0000;0.0000;0.0000;0.0000;1.6823;0.5053;2.1877;8.85;3;0;no;1;;ficha_precargada_PRE
4827;BVD RIBB TIRA ANCHA;FITS;Bare BVD;0.0000;0.0000;0.0000;0.0000;1.5730;0.4725;2.0455;8.25;3;0;no;1;;ficha_precargada_PRE
4828;TOP ESCOTE CUADRADO;FITS;Bare Top;0.0000;0.0000;0.0000;0.0000;1.6389;0.4923;2.1312;8.65;3;0;no;1;;ficha_precargada_PRE
4829;TOP TIRAS ESCOTE V;FITS;Bare Tiras;0.0000;0.0000;0.0000;0.0000;1.6936;0.5087;2.2023;9.00;3;0;no;1;;ficha_precargada_PRE
4830;BVD RIBB CUELLO ALTO;FITS;Bare BVD;0.0000;0.0000;0.0000;0.0000;1.6059;0.4824;2.0883;8.45;3;0;no;1;;ficha_precargada_PRE
4526;CAMISETA MC MOÑO BORDADO;CAMISETAS;Camiseta CR;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4527;CAMISETA MC AERO 87;CAMISETAS;Camiseta CR;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4528;CAMISETA MC YOU APLIQUE;CAMISETAS;Camiseta CR;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4529;CAMISETA MC DOS MOÑOS;CAMISETAS;Camiseta CR;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4530;CAMISETA MC NEW YORK;CAMISETAS;Camiseta CR;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4531;CAMISETA MC MOÑO GINGHAM;CAMISETAS;Camiseta CR;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4532;CAMISETA MC BORDE ONDULADO;CAMISETAS;Camiseta CR;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4533;CAMISETA MC ONDULADA LISA;CAMISETAS;Camiseta CR;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4534;POLO MC MOÑO BORDADO;POLOS;Polo Basica;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4535;POLO MC RAYAS NAVY;POLOS;Polo Moda;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4536;POLO MC AEROPOSTALE;POLOS;Polo Basica;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4537;BLUSA MC ANUDADA;CAMISAS;Camisas MC;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4538;TOP RAYAS TIRAS;FITS;Bare Top;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4539;HOODIE AERO ALL OVER;HODDIE;Hoodies;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4540;HOODIE CIERRE MOÑO;CHOMPA;Capucha Cierre;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4541;HOODIE CIERRE AEROPOSTALE;CHOMPA;Capucha Cierre;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4542;VESTIDO GINGHAM TIRAS;VESTIDOS;Vestidos;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4543;BUZO CUELLO ALTO MOÑOS;FLEECE BASICO;Crew;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4544;CHAQUETA CIERRE ESTAMPADA;BOMBER;Bombers;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4545;JOGGER AEROPOSTALE;JOGGER;Jogger;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4546;JEAN ANCHO;DENIM;Jeans;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4547;PANTALON CARGO;PANTALONES PLANOS;Pantalon Cargo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4548;PANTALON RAYAS;PANTALONES PLANOS;Pantalon Moda;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4549;FALDA VOLANTE;FALDAS;Faldas;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
4550;SHORT BEIGE;SHORT PLANOS;Short Basico;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0;0;no;1;;receta_por_defecto_RECETAS
