referencia;centro_id;centro;activo;valor_min_o_puntadas;base;tarifa_mod;tarifa_moi;costo_mod_usd;costo_moi_usd
4823;corte;Corte;si;0.95;min;0.2252;0.0680;0.213940;0.064600
4823;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4823;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4823;confeccion;Confección;si;9.8;min;0.1649;0.0495;1.616020;0.485100
4823;empaque;Empaque;si;1.25;min;0.3130;0.0940;0.391250;0.117500
4824;corte;Corte;si;0.95;min;0.2252;0.0680;0.213940;0.064600
4824;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4824;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4824;confeccion;Confección;si;10.4;min;0.1649;0.0495;1.714960;0.514800
4824;empaque;Empaque;si;1.25;min;0.3130;0.0940;0.391250;0.117500
4825;corte;Corte;si;0.8;min;0.2252;0.0680;0.180160;0.054400
4825;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4825;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4825;confeccion;Confección;si;7.6;min;0.1649;0.0495;1.253240;0.376200
4825;empaque;Empaque;si;1.2;min;0.3130;0.0940;0.375600;0.112800
4826;corte;Corte;si;0.75;min;0.2252;0.0680;0.168900;0.051000
4826;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4826;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4826;confeccion;Confección;si;6.9;min;0.1649;0.0495;1.137810;0.341550
4826;empaque;Empaque;si;1.2;min;0.3130;0.0940;0.375600;0.112800
4827;corte;Corte;si;0.7;min;0.2252;0.0680;0.157640;0.047600
4827;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4827;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4827;confeccion;Confección;si;6.4;min;0.1649;0.0495;1.055360;0.316800
4827;empaque;Empaque;si;1.15;min;0.3130;0.0940;0.359950;0.108100
4828;corte;Corte;si;0.7;min;0.2252;0.0680;0.157640;0.047600
4828;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4828;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4828;confeccion;Confección;si;6.8;min;0.1649;0.0495;1.121320;0.336600
4828;empaque;Empaque;si;1.15;min;0.3130;0.0940;0.359950;0.108100
4829;corte;Corte;si;0.65;min;0.2252;0.0680;0.146380;0.044200
4829;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4829;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4829;confeccion;Confección;si;7.2;min;0.1649;0.0495;1.187280;0.356400
4829;empaque;Empaque;si;1.15;min;0.3130;0.0940;0.359950;0.108100
4830;corte;Corte;si;0.7;min;0.2252;0.0680;0.157640;0.047600
4830;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4830;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4830;confeccion;Confección;si;6.6;min;0.1649;0.0495;1.088340;0.326700
4830;empaque;Empaque;si;1.15;min;0.3130;0.0940;0.359950;0.108100
4526;corte;Corte;no;0;min;0.2252;0.0680;0;0
4526;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4526;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4526;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4526;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4527;corte;Corte;no;0;min;0.2252;0.0680;0;0
4527;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4527;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4527;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4527;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4528;corte;Corte;no;0;min;0.2252;0.0680;0;0
4528;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4528;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4528;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4528;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4529;corte;Corte;no;0;min;0.2252;0.0680;0;0
4529;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4529;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4529;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4529;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4530;corte;Corte;no;0;min;0.2252;0.0680;0;0
4530;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4530;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4530;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4530;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4531;corte;Corte;no;0;min;0.2252;0.0680;0;0
4531;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4531;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4531;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4531;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4532;corte;Corte;no;0;min;0.2252;0.0680;0;0
4532;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4532;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4532;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4532;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4533;corte;Corte;no;0;min;0.2252;0.0680;0;0
4533;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4533;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4533;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4533;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4534;corte;Corte;no;0;min;0.2252;0.0680;0;0
4534;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4534;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4534;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4534;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4535;corte;Corte;no;0;min;0.2252;0.0680;0;0
4535;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4535;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4535;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4535;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4536;corte;Corte;no;0;min;0.2252;0.0680;0;0
4536;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4536;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4536;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
4536;empaque;Empaque;no;0;min;0.3130;0.0940;0;0
4537;corte;Corte;no;0;min;0.2252;0.0680;0;0
4537;estampado;Estampado / Serigrafía;no;0;min;0.1980;0.0600;0;0
4537;bordado;Bordado;no;0;punt;0.1200;0.0000;0;0
4537;confeccion;Confección;no;0;min;0.1649;0.0495;0;0
