referencia;producto;codigo_material;descripcion_material;tipo;unidad;consumo;desperdicio_pct;precio_unitario_usd;costo_linea_usd;pantone;fuente_de_la_linea
4823;CAMISETA ML RIBB CUELLO REDONDO;MP-RIBB2X2LIVIA;RIBB 2X2 LIVIANO;mp;u;0.245;0;0;0.000000;;ficha_precargada_PRE
4823;CAMISETA ML RIBB CUELLO REDONDO;IN-HILOPARACOSE;HILO PARA COSER;ins;u;0.014;0;0;0.000000;;ficha_precargada_PRE
4823;CAMISETA ML RIBB CUELLO REDONDO;IN-ETIQUETAS;ETIQUETAS;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4823;CAMISETA ML RIBB CUELLO REDONDO;IN-SATIN;SATIN;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4823;CAMISETA ML RIBB CUELLO REDONDO;SV-TINTURADOIND;TINTURADO INDUSTRIAL;srv;u;0;0;0;0.000000;;ficha_precargada_PRE
4824;CAMISETA ML RIBB WAFFLE;MP-GALLETA;GALLETA;mp;u;0.265;0;0;0.000000;;ficha_precargada_PRE
4824;CAMISETA ML RIBB WAFFLE;IN-HILOPARACOSE;HILO PARA COSER;ins;u;0.014;0;0;0.000000;;ficha_precargada_PRE
4824;CAMISETA ML RIBB WAFFLE;IN-ETIQUETAS;ETIQUETAS;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4824;CAMISETA ML RIBB WAFFLE;IN-SATIN;SATIN;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4824;CAMISETA ML RIBB WAFFLE;SV-TINTURADOIND;TINTURADO INDUSTRIAL;srv;u;0;0;0;0.000000;;ficha_precargada_PRE
4825;CAMISETA MC RIBB CUELLO ALTO;MP-RIBB241;RIBB 24/1;mp;u;0.185;0;0;0.000000;;ficha_precargada_PRE
4825;CAMISETA MC RIBB CUELLO ALTO;IN-HILOPARACOSE;HILO PARA COSER;ins;u;0.01;0;0;0.000000;;ficha_precargada_PRE
4825;CAMISETA MC RIBB CUELLO ALTO;IN-ETIQUETAS;ETIQUETAS;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4825;CAMISETA MC RIBB CUELLO ALTO;IN-SATIN;SATIN;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4825;CAMISETA MC RIBB CUELLO ALTO;SV-TINTURADOIND;TINTURADO INDUSTRIAL;srv;u;0;0;0;0.000000;;ficha_precargada_PRE
4826;TOP MANGA CAÍDA;MP-JERSEYLYCRA;JERSEY LYCRA;mp;u;0.19;0;0;0.000000;;ficha_precargada_PRE
4826;TOP MANGA CAÍDA;IN-HILOPARACOSE;HILO PARA COSER;ins;u;0.009;0;0;0.000000;;ficha_precargada_PRE
4826;TOP MANGA CAÍDA;IN-ETIQUETAS;ETIQUETAS;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4826;TOP MANGA CAÍDA;IN-SATIN;SATIN;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4826;TOP MANGA CAÍDA;SV-TINTURADOIND;TINTURADO INDUSTRIAL;srv;u;0;0;0;0.000000;;ficha_precargada_PRE
4827;BVD RIBB TIRA ANCHA;MP-RIBB241;RIBB 24/1;mp;u;0.14;0;0;0.000000;;ficha_precargada_PRE
4827;BVD RIBB TIRA ANCHA;IN-HILOPARACOSE;HILO PARA COSER;ins;u;0.008;0;0;0.000000;;ficha_precargada_PRE
4827;BVD RIBB TIRA ANCHA;IN-ELASTICO;ELASTICO;ins;u;1.1;0;0;0.000000;;ficha_precargada_PRE
4827;BVD RIBB TIRA ANCHA;IN-ETIQUETAS;ETIQUETAS;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4827;BVD RIBB TIRA ANCHA;IN-SATIN;SATIN;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4827;BVD RIBB TIRA ANCHA;SV-TINTURADOIND;TINTURADO INDUSTRIAL;srv;u;0;0;0;0.000000;;ficha_precargada_PRE
4828;TOP ESCOTE CUADRADO;MP-RIBB2X2LIVIA;RIBB 2X2 LIVIANO;mp;u;0.135;0;0;0.000000;;ficha_precargada_PRE
4828;TOP ESCOTE CUADRADO;IN-HILOPARACOSE;HILO PARA COSER;ins;u;0.008;0;0;0.000000;;ficha_precargada_PRE
4828;TOP ESCOTE CUADRADO;IN-ELASTICO;ELASTICO;ins;u;1.2;0;0;0.000000;;ficha_precargada_PRE
4828;TOP ESCOTE CUADRADO;IN-ETIQUETAS;ETIQUETAS;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4828;TOP ESCOTE CUADRADO;IN-SATIN;SATIN;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4828;TOP ESCOTE CUADRADO;SV-TINTURADOIND;TINTURADO INDUSTRIAL;srv;u;0;0;0;0.000000;;ficha_precargada_PRE
4829;TOP TIRAS ESCOTE V;MP-JERSEYLYCRA;JERSEY LYCRA;mp;u;0.125;0;0;0.000000;;ficha_precargada_PRE
4829;TOP TIRAS ESCOTE V;IN-FRAMILON;FRAMILON;ins;u;1.3;0;0;0.000000;;ficha_precargada_PRE
4829;TOP TIRAS ESCOTE V;IN-HILOPARACOSE;HILO PARA COSER;ins;u;0.007;0;0;0.000000;;ficha_precargada_PRE
4829;TOP TIRAS ESCOTE V;IN-ETIQUETAS;ETIQUETAS;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4829;TOP TIRAS ESCOTE V;IN-SATIN;SATIN;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4829;TOP TIRAS ESCOTE V;SV-TINTURADOIND;TINTURADO INDUSTRIAL;srv;u;0;0;0;0.000000;;ficha_precargada_PRE
4830;BVD RIBB CUELLO ALTO;MP-RIBB2X2LIVIA;RIBB 2X2 LIVIANO;mp;u;0.15;0;0;0.000000;;ficha_precargada_PRE
4830;BVD RIBB CUELLO ALTO;IN-HILOPARACOSE;HILO PARA COSER;ins;u;0.008;0;0;0.000000;;ficha_precargada_PRE
4830;BVD RIBB CUELLO ALTO;IN-ELASTICO;ELASTICO;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4830;BVD RIBB CUELLO ALTO;IN-ETIQUETAS;ETIQUETAS;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
4830;BVD RIBB CUELLO ALTO;IN-SATIN;SATIN;ins;u;1;0;0;0.000000;;ficha_precargada_PRE
