codigo_pantone;nombre
19-0303;DARK BLACK
11-0700;BLEACH
11-0601;BIRCH
19-1106;CAFE INTENSO
12-0721;SUNLIGHT
14-0002;EGRET
19-3921;BLACK IRIS
16-1106;IRISH CREAM
19-1664;TRUE RED
19-4026;CELESTIAL-KAMERINO
19-4025;CADET NAVY
16-0213;TEA
18-0403;DARK GULL GRAY
18-3921;BIJOU BLUE
16-4610;STILL WATER
15-1308;DOESKIN
15-6315;GREEN TURQUOISE
14-1508;SILVER PINK
13-2004;PRIMROSE PINK
19-1930;POMEGRANATE
19-1216;CHOCOLATE MARTINI
18-1405;FLINT
19-3933;MEDIEVAL BLUE
18-0316;OLIVINE
19-1627;PORT ROYALE
19-4906;GREEN GABLES
18-4051;FRENCH BLUE
16-3801;LHG
13-2807;BALLERINA
14-1107;OYSTER GRAY
15-1216;PALE KHAKI
18-0617;COVERT GREEN
13-2806;PINKY LADY
19-4914;DEEP TEAL
14-1106;PEYOTE
17-1502;CLOUD BURST
17-2627;VIVID FUCSHIA
18-1030;THRUSH
14-4115;KENTUCKY BLUE
17-2235;PINK SUNSET NEON
17-4033;OCEAN PACIFIC
17-6323;HEDGE GREEN
18-3223;CATTLEYA ORCHID
16-2126;AZALEA PINK
17-3918;COUNTRY BLUE
11-4801;TOFU
-;
13-4308;BABY BLUE
19-1217;COFFE RAK
18-0601;CHARCOAL GRAY
COMBINADO;
18-3821;BIJOU BLUE
16-1320;NOUGAL
19-1245;ARABIAN SPICE
16-1414;CHANTERELLE
18-0000;SMOKED PEARL
15-1433;PAPAYA PUNCH
18-5841;GREEN
14-2808;SWEET LILAC
14-4203;VAPOR BLUE
