referencia;nombre;categoria;tipo_producto;marca;departamento;anio;temporada;archivado
4823;CAMISETA ML RIBB CUELLO REDONDO;CAMISETAS;Camiseta ML;;;;;no
4824;CAMISETA ML RIBB WAFFLE;CAMISETAS;Camiseta ML;;;;;no
4825;CAMISETA MC RIBB CUELLO ALTO;CAMISETAS;Camiseta CR;;;;;no
4826;TOP MANGA CAÍDA;CAMISETAS;Camiseta Corte Moda;;;;;no
4827;BVD RIBB TIRA ANCHA;FITS;Bare BVD;;;;;no
4828;TOP ESCOTE CUADRADO;FITS;Bare Top;;;;;no
4829;TOP TIRAS ESCOTE V;FITS;Bare Tiras;;;;;no
4830;BVD RIBB CUELLO ALTO;FITS;Bare BVD;;;;;no
4526;CAMISETA MC MOÑO BORDADO;CAMISETAS;Camiseta CR;;;;;no
4527;CAMISETA MC AERO 87;CAMISETAS;Camiseta CR;;;;;no
4528;CAMISETA MC YOU APLIQUE;CAMISETAS;Camiseta CR;;;;;no
4529;CAMISETA MC DOS MOÑOS;CAMISETAS;Camiseta CR;;;;;no
4530;CAMISETA MC NEW YORK;CAMISETAS;Camiseta CR;;;;;no
4531;CAMISETA MC MOÑO GINGHAM;CAMISETAS;Camiseta CR;;;;;no
4532;CAMISETA MC BORDE ONDULADO;CAMISETAS;Camiseta CR;;;;;no
4533;CAMISETA MC ONDULADA LISA;CAMISETAS;Camiseta CR;;;;;no
4534;POLO MC MOÑO BORDADO;POLOS;Polo Basica;;;;;no
4535;POLO MC RAYAS NAVY;POLOS;Polo Moda;;;;;no
4536;POLO MC AEROPOSTALE;POLOS;Polo Basica;;;;;no
4537;BLUSA MC ANUDADA;CAMISAS;Camisas MC;;;;;no
4538;TOP RAYAS TIRAS;FITS;Bare Top;;;;;no
4539;HOODIE AERO ALL OVER;HODDIE;Hoodies;;;;;no
4540;HOODIE CIERRE MOÑO;CHOMPA;Capucha Cierre;;;;;no
4541;HOODIE CIERRE AEROPOSTALE;CHOMPA;Capucha Cierre;;;;;no
4542;VESTIDO GINGHAM TIRAS;VESTIDOS;Vestidos;;;;;no
4543;BUZO CUELLO ALTO MOÑOS;FLEECE BASICO;Crew;;;;;no
4544;CHAQUETA CIERRE ESTAMPADA;BOMBER;Bombers;;;;;no
4545;JOGGER AEROPOSTALE;JOGGER;Jogger;;;;;no
4546;JEAN ANCHO;DENIM;Jeans;;;;;no
4547;PANTALON CARGO;PANTALONES PLANOS;Pantalon Cargo;;;;;no
4548;PANTALON RAYAS;PANTALONES PLANOS;Pantalon Moda;;;;;no
4549;FALDA VOLANTE;FALDAS;Faldas;;;;;no
4550;SHORT BEIGE;SHORT PLANOS;Short Basico;;;;;no
4816;BOMBER VERDE ALA NYC;BOMBER;Bombers;;;;;no
4817;BOMBER NAVY SPORTS CLUB;BOMBER;Bombers;;;;;no
4818;BOMBER VARSITY VERDE;BOMBER;Bombers;;;;;no
4821;BOMBER VARSITY NORTH RIDGE;BOMBER;Bombers;;;;;no
4822;BOMBER VERDE OLIVA NYC;BOMBER;Bombers;;;;;no
