categoria;tipo_producto;codigo_material;consumo;desperdicio_pct
CAMISETAS;(todos);MP-JERSEY241;0.2;0
CAMISETAS;(todos);MP-CUELLOSTEJID;1;0
CAMISETAS;Camiseta ML;MP-JERSEY241;0.24;0
CAMISETAS;Camiseta ML;MP-CUELLOSTEJID;1;0
CAMISETAS;Camiseta ML;MP-PUOSTEJIDOS;1;0
CAMISETAS;Ranglan ML;MP-JERSEY241;0.235;0
CAMISETAS;Ranglan ML;MP-RIBB2X2LIVIA;0.03;0
CAMISETAS;Ranglan ML;MP-PUOSTEJIDOS;1;0
CAMISETAS;MC Ranglan;MP-JERSEY241;0.205;0
CAMISETAS;MC Ranglan;MP-RIBB2X2LIVIA;0.03;0
CAMISETAS;Basica Crop;MP-JERSEYLYCRA;0.15;0
CAMISETAS;Basica Crop;MP-RIBB2X2LIVIA;0.02;0
CAMISETAS;Oversize;MP-JERSEY241;0.245;0
CAMISETAS;Oversize;MP-RIBB2X2LIVIA;0.025;0
CAMISETAS;Camiseta Corte Moda;MP-JERSEYLYCRA;0.185;0
CAMISETAS;Camiseta Corte Moda;MP-RIBB2X2LIVIA;0.02;0
FITS;(todos);MP-RIBB2X2LIVIA;0.14;0
FITS;(todos);IN-ELASTICO;1.1;0
FITS;Bare Top;MP-RIBB2X2LIVIA;0.135;0
FITS;Bare Top;IN-ELASTICO;1.2;0
FITS;Bare Tiras;MP-JERSEYLYCRA;0.125;0
FITS;Bare Tiras;IN-FRAMILON;1.3;0
FITS;Yogga;MP-JERSEYLYCRA;0.185;0
FITS;Yogga;MP-RIBB2X2LIVIA;0.02;0
FITS;Fit 6;MP-JERSEYLYCRA;0.175;0
FITS;Fit 6;MP-RIBB2X2LIVIA;0.02;0
FITS;Fit 61;MP-JERSEYLYCRA;0.18;0
FITS;Fit 61;MP-RIBB2X2LIVIA;0.02;0
FITS;Fit Moda;MP-JERSEYLYCRA;0.18;0
FITS;Fit Moda;MP-MICROFIBRACO;0.025;0
POLOS;(todos);MP-PIQUE;0.23;0
POLOS;(todos);MP-CUELLOSTEJID;1;0
POLOS;(todos);MP-PUOSTEJIDOS;1;0
POLOS;(todos);IN-BOTONES;3;0
FLEECE BASICO;(todos);MP-FLEECEPERCHA;0.42;0
FLEECE BASICO;(todos);MP-RIBB2X2LIVIA;0.055;0
FLEECE PESADO;(todos);MP-FLEECEPERCHA;0.52;0
FLEECE PESADO;(todos);MP-RIBB2X2LIVIA;0.065;0
FLEECE PESADO;Crew Zip;MP-FLEECEPERCHA;0.52;0
FLEECE PESADO;Crew Zip;MP-RIBB2X2LIVIA;0.065;0
FLEECE PESADO;Crew Zip;IN-CIERRENYLON;1;0
HODDIE;(todos);MP-FLEECEPERCHA;0.56;0
HODDIE;(todos);MP-RIBB2X2LIVIA;0.07;0
HODDIE;(todos);IN-CORDONREDOND;1.4;0
JOGGER;(todos);MP-FLEECEPERCHA;0.4;0
JOGGER;(todos);MP-RIBB2X2LIVIA;0.06;0
JOGGER;(todos);IN-ELASTICO;0.9;0
JOGGER;(todos);IN-CORDONREDOND;1.2;0
CHOMPA;(todos);MP-FLEECEPERCHA;0.54;0
CHOMPA;(todos);MP-RIBB2X2LIVIA;0.07;0
CHOMPA;(todos);IN-CIERRENYLON;1;0
CHOMPA;(todos);IN-CORDONREDOND;1.4;0
ENTERIZO;(todos);MP-FRENCHTERRY;0.48;0
ENTERIZO;(todos);MP-RIBB2X2LIVIA;0.05;0
ENTERIZO;(todos);IN-CIERRENYLON;1;0
BVD;(todos);MP-RIBB241;0.13;0
BVD;(todos);IN-ELASTICO;1;0
BOMBER;(todos);MP-FRENCHTERRY;0.45;0
BOMBER;(todos);MP-RIBB2X2LIVIA;0.07;0
BOMBER;(todos);IN-CIERRENYLON;1;0
TEJIDOS;(todos);MP-GALLETA;0.25;0
TEJIDOS;(todos);MP-RIBB2X2LIVIA;0.03;0
